Time,Money,Total Income, Factory Income, Click Income,Quartz Click Power,Quartz Factories,Quartz Factory Cost,Topaz Click Power,Topaz Factories,Topaz Factory Cost,Amethyst Click Power,Amethyst Factories,Amethyst Factory Cost,Sapphire Click Power,Sapphire Factories,Sapphire Factory Cost,Emerald Click Power,Emerald Factories,Emerald Factory Cost,Ruby Click Power,Ruby Factories,Ruby Factory Cost,Diamond Click Power,Diamond Factories,Diamond Factory Cost,Rainbow Click Power,Rainbow Factories,Rainbow Factory Cost,
112,5931403.973613267,3199,3199,0,1,55,26155.46620701292,1,37,26418.694458916983,1,19,28463.543292080147,1,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
113,6106188.507406254,3349,3349,0,1,56,30078.786138064854,1,37,26418.694458916983,1,19,28463.543292080147,1,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
114,6280769.8129473375,3350,3350,0,1,56,30078.786138064854,1,38,30381.49862775453,1,19,28463.543292080147,1,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
115,6449489.8129473375,3362,3362,0,1,56,30078.786138064854,1,38,30381.49862775453,1,19,28463.543292080147,1,1,37950,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
116,6727746.269655257,5112,5112,0,1,56,30078.786138064854,1,38,30381.49862775453,1,20,32733.074785892164,1,1,37950,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
117,7013387.483517192,5262,5262,0,1,57,34590.60405877458,1,38,30381.49862775453,1,20,32733.074785892164,1,1,37950,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
118,7298785.984889437,5263,5263,0,1,57,34590.60405877458,1,39,34938.7234219177,1,20,32733.074785892164,1,1,37950,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
119,7582552.9101035455,5275,5275,0,1,57,34590.60405877458,1,39,34938.7234219177,1,21,37643.03600377599,1,1,37950,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
120,7870102.9101035455,5425,5425,0,1,57,34590.60405877458,1,39,34938.7234219177,1,21,37643.03600377599,1,2,43642.49999999999,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
121,8266012.306044771,7175,7175,0,1,58,39779.19466759077,1,39,34938.7234219177,1,21,37643.03600377599,1,2,43642.49999999999,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
122,8661633.582622854,7176,7176,0,1,58,39779.19466759077,1,40,40179.531935205356,1,21,37643.03600377599,1,2,43642.49999999999,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
123,9055270.546619078,7188,7188,0,1,58,39779.19466759077,1,40,40179.531935205356,1,22,43289.491404342385,1,2,43642.49999999999,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
124,9451908.046619078,7338,7338,0,1,58,39779.19466759077,1,40,40179.531935205356,1,22,43289.491404342385,1,3,50188.874999999985,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
125,9957408.851951487,9088,9088,0,1,59,45746.07386772937,1,40,40179.531935205356,1,22,43289.491404342385,1,3,50188.874999999985,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
126,10462569.320016282,9089,9089,0,1,59,45746.07386772937,1,41,46206.46172548615,1,22,43289.491404342385,1,3,50188.874999999985,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
127,10965339.82861194,9101,9101,0,1,59,45746.07386772937,1,41,46206.46172548615,1,23,49782.91511499373,1,3,50188.874999999985,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
128,11474653.754744211,9251,9251,0,1,60,52607.98494788878,1,41,46206.46172548615,1,23,49782.91511499373,1,3,50188.874999999985,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
129,11983567.293018725,9252,9252,0,1,60,52607.98494788878,1,42,53137.430984309074,1,23,49782.91511499373,1,3,50188.874999999985,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
130,12489218.418018725,9264,9264,0,1,60,52607.98494788878,1,42,53137.430984309074,1,23,49782.91511499373,1,4,57717.20624999998,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
131,13100275.502903732,11014,11014,0,1,60,52607.98494788878,1,42,53137.430984309074,1,24,57250.35238224279,1,4,57717.20624999998,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
132,13717507.517955843,11164,11164,0,1,61,60499.18269007209,1,42,53137.430984309074,1,24,57250.35238224279,1,4,57717.20624999998,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
133,14334270.086971534,11165,11165,0,1,61,60499.18269007209,1,43,61108.04563195543,1,24,57250.35238224279,1,4,57717.20624999998,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
